id,kode_provinsi,nama_provinsi,pengelola_kawasan,jenis_wisatawan,jumlah_wisatawan,satuan,tahun,data_flag,tipe_pengelola
1990,32,JAWA BARAT,BATU KUDA,WISATAWAN MANCANEGARA,0,ORANG,2021,NORMAL,LAINNYA
2460,32,JAWA BARAT,BATU KUDA,WISATAWAN MANCANEGARA,0,ORANG,2022,INCOMPLETE_YEAR,LAINNYA
157,32,JAWA BARAT,BATU KUDA,WISATAWAN NUSANTARA,0,ORANG,2016,NORMAL,LAINNYA
435,32,JAWA BARAT,BATU KUDA,WISATAWAN NUSANTARA,0,ORANG,2017,NORMAL,LAINNYA
699,32,JAWA BARAT,BATU KUDA,WISATAWAN NUSANTARA,0,ORANG,2018,NORMAL,LAINNYA
1049,32,JAWA BARAT,BATU KUDA,WISATAWAN NUSANTARA,0,ORANG,2019,NORMAL,LAINNYA
1519,32,JAWA BARAT,BATU KUDA,WISATAWAN NUSANTARA,0,ORANG,2020,SUSPECT_COPY,LAINNYA
1989,32,JAWA BARAT,BATU KUDA,WISATAWAN NUSANTARA,0,ORANG,2021,NORMAL,LAINNYA
2459,32,JAWA BARAT,BATU KUDA,WISATAWAN NUSANTARA,0,ORANG,2022,INCOMPLETE_YEAR,LAINNYA
1260,32,JAWA BARAT,BATU LAWANG,WISATAWAN MANCANEGARA,0,ORANG,2019,NORMAL,LAINNYA
1730,32,JAWA BARAT,BATU LAWANG,WISATAWAN MANCANEGARA,0,ORANG,2020,SUSPECT_COPY,LAINNYA
2200,32,JAWA BARAT,BATU LAWANG,WISATAWAN MANCANEGARA,0,ORANG,2021,NORMAL,LAINNYA
2670,32,JAWA BARAT,BATU LAWANG,WISATAWAN MANCANEGARA,0,ORANG,2022,INCOMPLETE_YEAR,LAINNYA
1259,32,JAWA BARAT,BATU LAWANG,WISATAWAN NUSANTARA,0,ORANG,2019,NORMAL,LAINNYA
1729,32,JAWA BARAT,BATU LAWANG,WISATAWAN NUSANTARA,0,ORANG,2020,SUSPECT_COPY,LAINNYA
2199,32,JAWA BARAT,BATU LAWANG,WISATAWAN NUSANTARA,0,ORANG,2021,NORMAL,LAINNYA
2669,32,JAWA BARAT,BATU LAWANG,WISATAWAN NUSANTARA,0,ORANG,2022,INCOMPLETE_YEAR,LAINNYA
1022,32,JAWA BARAT,BIHBUL FOREST PARK,WISATAWAN MANCANEGARA,0,ORANG,2019,NORMAL,LAINNYA
1492,32,JAWA BARAT,BIHBUL FOREST PARK,WISATAWAN MANCANEGARA,0,ORANG,2020,SUSPECT_COPY,LAINNYA
1962,32,JAWA BARAT,BIHBUL FOREST PARK,WISATAWAN MANCANEGARA,0,ORANG,2021,NORMAL,LAINNYA
2432,32,JAWA BARAT,BIHBUL FOREST PARK,WISATAWAN MANCANEGARA,0,ORANG,2022,INCOMPLETE_YEAR,LAINNYA
1021,32,JAWA BARAT,BIHBUL FOREST PARK,WISATAWAN NUSANTARA,0,ORANG,2019,NORMAL,LAINNYA
1491,32,JAWA BARAT,BIHBUL FOREST PARK,WISATAWAN NUSANTARA,0,ORANG,2020,SUSPECT_COPY,LAINNYA
1961,32,JAWA BARAT,BIHBUL FOREST PARK,WISATAWAN NUSANTARA,0,ORANG,2021,NORMAL,LAINNYA
2431,32,JAWA BARAT,BIHBUL FOREST PARK,WISATAWAN NUSANTARA,0,ORANG,2022,INCOMPLETE_YEAR,LAINNYA
976,32,JAWA BARAT,BLANAKAN,WISATAWAN MANCANEGARA,0,ORANG,2019,NORMAL,LAINNYA
1446,32,JAWA BARAT,BLANAKAN,WISATAWAN MANCANEGARA,0,ORANG,2020,SUSPECT_COPY,LAINNYA
1916,32,JAWA BARAT,BLANAKAN,WISATAWAN MANCANEGARA,0,ORANG,2021,NORMAL,LAINNYA
2386,32,JAWA BARAT,BLANAKAN,WISATAWAN MANCANEGARA,0,ORANG,2022,INCOMPLETE_YEAR,LAINNYA
975,32,JAWA BARAT,BLANAKAN,WISATAWAN NUSANTARA,0,ORANG,2019,NORMAL,LAINNYA
1445,32,JAWA BARAT,BLANAKAN,WISATAWAN NUSANTARA,0,ORANG,2020,SUSPECT_COPY,LAINNYA
1915,32,JAWA BARAT,BLANAKAN,WISATAWAN NUSANTARA,0,ORANG,2021,NORMAL,LAINNYA
2385,32,JAWA BARAT,BLANAKAN,WISATAWAN NUSANTARA,0,ORANG,2022,INCOMPLETE_YEAR,LAINNYA
72,32,JAWA BARAT,BP RANCAUPAS,WISATAWAN MANCANEGARA,0,ORANG,2016,NORMAL,LAINNYA
360,32,JAWA BARAT,BP RANCAUPAS,WISATAWAN MANCANEGARA,0,ORANG,2017,NORMAL,LAINNYA
624,32,JAWA BARAT,BP RANCAUPAS,WISATAWAN MANCANEGARA,0,ORANG,2018,NORMAL,LAINNYA
71,32,JAWA BARAT,BP RANCAUPAS,WISATAWAN NUSANTARA,0,ORANG,2016,NORMAL,LAINNYA
