tahun,bulan,jenis_hotel,tpk
2023,Maret,3. Hotel Berbintang dan NonBintang Total,36.92
2024,Maret,1.a. Hotel Bintang 1,24.12
2024,Maret,1.b. Hotel Bintang 2,40.88
2024,Maret,1.c. Hotel Bintang 3,38.48
2024,Maret,1.d. Hotel Bintang 4,43.91
2024,Maret,1.e. Hotel Bintang 5,51.98
2024,Maret,1. Hotel Berbintang Total,40.56
2024,Maret,2.a. Hotel NonBintang; kamar <10,10.31
2024,Maret,2.b. Hotel NonBintang; kamar 10-24,17.48
2024,Maret,2.c. Hotel NonBintang; kamar 25-40,21.27
2024,Maret,2.d. Hotel NonBintang; kamar >40,15.51
2024,Maret,2. Hotel NonBintang Total,16.85
2024,Maret,3. Hotel Berbintang dan NonBintang Total,32.39
2025,Maret,1.a. Hotel Bintang 1,17.32
2025,Maret,1.b. Hotel Bintang 2,30.08
2025,Maret,1.c. Hotel Bintang 3,26.75
2025,Maret,1.d. Hotel Bintang 4,30.92
2025,Maret,1.e. Hotel Bintang 5,32.58
2025,Maret,1. Hotel Berbintang Total,28.77
2025,Maret,2.a. Hotel NonBintang; kamar <10,7.99
2025,Maret,2.b. Hotel NonBintang; kamar 10-24,13.36
2025,Maret,2.c. Hotel NonBintang; kamar 25-40,17.79
2025,Maret,2.d. Hotel NonBintang; kamar >40,13.64
2025,Maret,2. Hotel NonBintang Total,14.37
2025,Maret,3. Hotel Berbintang dan NonBintang Total,24.28
2019,April,1.a. Hotel Bintang 1,
2019,April,1.b. Hotel Bintang 2,
2019,April,1.c. Hotel Bintang 3,
2019,April,1.d. Hotel Bintang 4,
2019,April,1.e. Hotel Bintang 5,
2019,April,1. Hotel Berbintang Total,53.17
2019,April,2.a. Hotel NonBintang; kamar <10,
2019,April,2.b. Hotel NonBintang; kamar 10-24,
2019,April,2.c. Hotel NonBintang; kamar 25-40,
2019,April,2.d. Hotel NonBintang; kamar >40,
2019,April,2. Hotel NonBintang Total,35.9
2019,April,3. Hotel Berbintang dan NonBintang Total,49.19
2020,April,1.a. Hotel Bintang 1,
2020,April,1.b. Hotel Bintang 2,
2020,April,1.c. Hotel Bintang 3,
2020,April,1.d. Hotel Bintang 4,
2020,April,1.e. Hotel Bintang 5,
2020,April,1. Hotel Berbintang Total,10.77
2020,April,2.a. Hotel NonBintang; kamar <10,
2020,April,2.b. Hotel NonBintang; kamar 10-24,
2020,April,2.c. Hotel NonBintang; kamar 25-40,
2020,April,2.d. Hotel NonBintang; kamar >40,
2020,April,2. Hotel NonBintang Total,5.13
2020,April,3. Hotel Berbintang dan NonBintang Total,8.02
2021,April,1.a. Hotel Bintang 1,
2021,April,1.b. Hotel Bintang 2,
2021,April,1.c. Hotel Bintang 3,
2021,April,1.d. Hotel Bintang 4,
2021,April,1.e. Hotel Bintang 5,
2021,April,1. Hotel Berbintang Total,38.4
2021,April,2.a. Hotel NonBintang; kamar <10,
2021,April,2.b. Hotel NonBintang; kamar 10-24,
2021,April,2.c. Hotel NonBintang; kamar 25-40,
2021,April,2.d. Hotel NonBintang; kamar >40,
2021,April,2. Hotel NonBintang Total,16.49
2021,April,3. Hotel Berbintang dan NonBintang Total,32.17
2022,April,1.a. Hotel Bintang 1,
2022,April,1.b. Hotel Bintang 2,
2022,April,1.c. Hotel Bintang 3,
2022,April,1.d. Hotel Bintang 4,
2022,April,1.e. Hotel Bintang 5,
2022,April,1. Hotel Berbintang Total,35.35
2022,April,2.a. Hotel NonBintang; kamar <10,
2022,April,2.b. Hotel NonBintang; kamar 10-24,
2022,April,2.c. Hotel NonBintang; kamar 25-40,
2022,April,2.d. Hotel NonBintang; kamar >40,
2022,April,2. Hotel NonBintang Total,16.26
2022,April,3. Hotel Berbintang dan NonBintang Total,
2023,April,1.a. Hotel Bintang 1,
2023,April,1.b. Hotel Bintang 2,
2023,April,1.c. Hotel Bintang 3,
2023,April,1.d. Hotel Bintang 4,
2023,April,1.e. Hotel Bintang 5,
2023,April,1. Hotel Berbintang Total,42.81
2023,April,2.a. Hotel NonBintang; kamar <10,
2023,April,2.b. Hotel NonBintang; kamar 10-24,
2023,April,2.c. Hotel NonBintang; kamar 25-40,
2023,April,2.d. Hotel NonBintang; kamar >40,
2023,April,2. Hotel NonBintang Total,21.03
2023,April,3. Hotel Berbintang dan NonBintang Total,35.34
2024,April,1.a. Hotel Bintang 1,29.27
2024,April,1.b. Hotel Bintang 2,46.45
2024,April,1.c. Hotel Bintang 3,45.38
2024,April,1.d. Hotel Bintang 4,49.61
2024,April,1.e. Hotel Bintang 5,51.59
2024,April,1. Hotel Berbintang Total,46.32
2024,April,2.a. Hotel NonBintang; kamar <10,19.39
2024,April,2.b. Hotel NonBintang; kamar 10-24,24.19
2024,April,2.c. Hotel NonBintang; kamar 25-40,25.94
2024,April,2.d. Hotel NonBintang; kamar >40,20.87
2024,April,2. Hotel NonBintang Total,22.81
2024,April,3. Hotel Berbintang dan NonBintang Total,37.99
