tahun,kode_wilayah,kabupaten_kota,wilayah,total_objek_wisata,alam,buatan,budaya,minat_khusus,alam_norm,budaya_norm,buatan_norm,minat_khusus_norm,total_norm
2019,3203,KABUPATEN CIANJUR,Priangan Barat,118,86.0,18.0,14.0,,0.22631578947368422,0.1206896551724138,0.11920529801324503,,0.2935323383084577
2019,3204,KABUPATEN BANDUNG,Priangan Barat,96,48.0,41.0,7.0,,0.12631578947368421,0.0603448275862069,0.271523178807947,,0.23880597014925373
2019,3205,KABUPATEN GARUT,Priangan Timur,208,106.0,67.0,35.0,,0.2789473684210526,0.3017241379310345,0.44370860927152317,,0.5174129353233831
2019,3206,KABUPATEN TASIKMALAYA,Priangan Timur,402,380.0,2.0,20.0,,1.0,0.1724137931034483,0.013245033112582781,,1.0
2019,3207,KABUPATEN CIAMIS,Priangan Timur,143,82.0,16.0,45.0,,0.21578947368421053,0.3879310344827586,0.10596026490066225,,0.35572139303482586
2019,3208,KABUPATEN KUNINGAN,Pantura Timur,149,109.0,26.0,14.0,,0.2868421052631579,0.1206896551724138,0.17218543046357615,,0.3706467661691542
2019,3209,KABUPATEN CIREBON,Pantura Timur,134,8.0,10.0,116.0,,0.021052631578947368,1.0,0.06622516556291391,,0.3333333333333333
2019,3210,KABUPATEN MAJALENGKA,Pantura Timur,179,100.0,40.0,39.0,,0.2631578947368421,0.33620689655172414,0.26490066225165565,,0.44527363184079605
2019,3211,KABUPATEN SUMEDANG,Priangan Barat,32,20.0,1.0,11.0,,0.05263157894736842,0.09482758620689655,0.006622516556291391,,0.07960199004975124
2019,3212,KABUPATEN INDRAMAYU,Pantura Timur,25,16.0,5.0,4.0,,0.042105263157894736,0.034482758620689655,0.033112582781456956,,0.06218905472636816
2019,3213,KABUPATEN SUBANG,Pantura Barat,81,54.0,26.0,1.0,,0.14210526315789473,0.008620689655172414,0.17218543046357615,,0.20149253731343283
2019,3214,KABUPATEN PURWAKARTA,Pantura Barat,60,28.0,22.0,10.0,,0.07368421052631578,0.08620689655172414,0.1456953642384106,,0.14925373134328357
2019,3215,KABUPATEN KARAWANG,Pantura Barat,126,50.0,37.0,39.0,,0.13157894736842105,0.33620689655172414,0.24503311258278146,,0.31343283582089554
2019,3216,KABUPATEN BEKASI,Pantura Barat,23,5.0,18.0,0.0,,0.013157894736842105,0.0,0.11920529801324503,,0.05721393034825871
2019,3217,KABUPATEN BANDUNG BARAT,Priangan Barat,151,69.0,65.0,17.0,,0.18157894736842106,0.14655172413793102,0.4304635761589404,,0.3756218905472637
2019,3218,KABUPATEN PANGANDARAN,Priangan Timur,232,156.0,22.0,54.0,,0.4105263157894737,0.46551724137931033,0.1456953642384106,,0.5771144278606966
2019,3271,KOTA BOGOR,Bogor-Sukabumi,23,0.0,22.0,1.0,,0.0,0.008620689655172414,0.1456953642384106,,0.05721393034825871
2019,3272,KOTA SUKABUMI,Bogor-Sukabumi,0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
2019,3273,KOTA BANDUNG,Priangan Barat,13,3.0,6.0,4.0,,0.007894736842105263,0.034482758620689655,0.039735099337748346,,0.03233830845771144
2019,3274,KOTA CIREBON,Pantura Timur,17,1.0,2.0,14.0,,0.002631578947368421,0.1206896551724138,0.013245033112582781,,0.04228855721393035
2019,3275,KOTA BEKASI,Pantura Barat,12,4.0,5.0,3.0,,0.010526315789473684,0.02586206896551724,0.033112582781456956,,0.029850746268656716
2019,3276,KOTA DEPOK,Pantura Barat,0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
2019,3277,KOTA CIMAHI,Priangan Barat,7,2.0,3.0,2.0,,0.005263157894736842,0.017241379310344827,0.019867549668874173,,0.017412935323383085
2019,3278,KOTA TASIKMALAYA,Priangan Timur,13,6.0,2.0,5.0,,0.015789473684210527,0.04310344827586207,0.013245033112582781,,0.03233830845771144
2019,3279,KOTA BANJAR,Priangan Timur,2,1.0,1.0,0.0,,0.002631578947368421,0.0,0.006622516556291391,,0.004975124378109453
2020,3201,KABUPATEN BOGOR,Bogor-Sukabumi,381,169.0,151.0,61.0,,0.8622448979591837,0.61,1.0,,1.0
2020,3202,KABUPATEN SUKABUMI,Bogor-Sukabumi,60,47.0,6.0,7.0,,0.23979591836734693,0.07,0.039735099337748346,,0.15079365079365079
2020,3203,KABUPATEN CIANJUR,Priangan Barat,134,90.0,21.0,23.0,,0.45918367346938777,0.23,0.1390728476821192,,0.34656084656084657
2020,3204,KABUPATEN BANDUNG,Priangan Barat,96,48.0,41.0,7.0,,0.24489795918367346,0.07,0.271523178807947,,0.24603174603174602
2020,3205,KABUPATEN GARUT,Priangan Timur,215,106.0,73.0,36.0,,0.5408163265306123,0.36,0.48344370860927155,,0.5608465608465608
2020,3206,KABUPATEN TASIKMALAYA,Priangan Timur,298,196.0,2.0,100.0,,1.0,1.0,0.013245033112582781,,0.7804232804232805
